,1. Economic Policy Uncertainty,2. Monetary policy,Fiscal Policy (Taxes OR Spending),3. Taxes,4. Government spending,5. Health care,6. National security,7. Entitlement programs,8. Regulation,Financial Regulation,9. Trade policy,"10. Sovereign debt, currency crises",TPU_monthly,GPR,GPRT,GPRA,GPRH,GPRHT,GPRHA,GPR_SHARE_GPR,GPR_SHARE_GPRH,GPRH_NOEW,GPR_NOEW,GPRH_AND,GPR_AND,GPRH_BASIC,GPR_BASIC,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_EGY,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_HUN,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_POL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUN,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_VNM,GPRC_ZAF,GPRHC_ARG,GPRHC_AUS,GPRHC_BEL,GPRHC_BRA,GPRHC_CAN,GPRHC_CHE,GPRHC_CHL,GPRHC_CHN,GPRHC_COL,GPRHC_DEU,GPRHC_DNK,GPRHC_EGY,GPRHC_ESP,GPRHC_FIN,GPRHC_FRA,GPRHC_GBR,GPRHC_HKG,GPRHC_HUN,GPRHC_IDN,GPRHC_IND,GPRHC_ISR,GPRHC_ITA,GPRHC_JPN,GPRHC_KOR,GPRHC_MEX,GPRHC_MYS,GPRHC_NLD,GPRHC_NOR,GPRHC_PER,GPRHC_PHL,GPRHC_POL,GPRHC_PRT,GPRHC_RUS,GPRHC_SAU,GPRHC_SWE,GPRHC_THA,GPRHC_TUN,GPRHC_TUR,GPRHC_TWN,GPRHC_UKR,GPRHC_USA,GPRHC_VEN,GPRHC_VNM,GPRHC_ZAF
1900-01-01,,,,,,,,,,,,,,,,,87.92784881591797,64.71749114990234,110.45352172851562,,3.171931743621826,92.1898193359375,,116.94910430908205,,84.10779571533203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258933193981647,0.0776799619197845,0.0906266197562217,0.0129466596990823,0.0906266197562217,0.0388399809598922,0.0129466596990823,0.2330398708581924,0.0258933193981647,0.5308130383491516,0.0129466596990823,0.0517866387963295,0.5567063689231873,0.0258933193981647,0.6732262969017029,1.5406525135040283,0.0,0.0258933193981647,0.0,0.2718798518180847,0.0,0.0517866387963295,0.0906266197562217,0.0129466596990823,0.0647332966327667,0.0,0.2459865361452102,0.0129466596990823,0.0129466596990823,0.8803728818893433,0.0517866387963295,0.2459865361452102,0.2589331865310669,0.0,0.0129466596990823,0.0776799619197845,0.0,0.0388399809598922,0.0,0.0,2.7187986373901367,0.0517866387963295,0.0129466596990823,1.1522526741027832
1900-02-01,,,,,,,,,,,,,,,,,86.56649017333984,71.93684387207031,96.25048828125,,3.122821807861328,91.0323257446289,,131.07498168945312,,79.70037841796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0139411678537726,0.1533528566360473,0.1533528566360473,0.0278823357075452,0.0975881814956665,0.0836470127105712,0.0139411678537726,0.0975881814956665,0.0,0.6412937641143799,0.0278823357075452,0.195176362991333,0.390352725982666,0.0,0.961940586566925,1.8820576667785645,0.0,0.0418235063552856,0.0,0.390352725982666,0.0139411678537726,0.195176362991333,0.0418235063552856,0.0,0.0975881814956665,0.0,0.3067057132720947,0.0139411678537726,0.0139411678537726,0.4739997088909149,0.0139411678537726,0.1394116878509521,0.3345880508422851,0.0,0.0,0.0836470127105712,0.0,0.1254705190658569,0.0,0.0,2.732469081878662,0.0278823357075452,0.0,1.1431758403778076
1900-03-01,,,,,,,,,,,,,,,,,72.14070129394531,57.475852966308594,84.49942779541016,,2.602421998977661,77.06775665283203,,112.93885040283205,,65.70138549804688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0128832776099443,0.1288327723741531,0.1030662208795547,0.0128832776099443,0.1803658902645111,0.0257665552198886,0.0,0.1417160481214523,0.0128832776099443,0.4637979865074157,0.0,0.0901829451322555,0.3864983320236206,0.0,0.5410976409912109,1.3527441024780271,0.0,0.0386498309671878,0.0,0.2834320962429046,0.0386498309671878,0.1803658902645111,0.1030662208795547,0.0644163861870765,0.0515331104397773,0.0,0.2061324417591095,0.0257665552198886,0.0128832776099443,0.347848504781723,0.0128832776099443,0.0515331104397773,0.3864983320236206,0.0,0.0128832776099443,0.1159494966268539,0.0,0.1803658902645111,0.0,0.0,2.1515073776245117,0.0257665552198886,0.0,0.8631795644760132
1900-04-01,,,,,,,,,,,,,,,,,54.41944885253906,37.326602935791016,65.85820770263672,,1.9631410837173464,61.98524856567383,,99.77803802490234,,53.79034805297851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0801282078027725,0.0267094019800424,0.0,0.0801282078027725,0.0133547009900212,0.0,0.1068376079201698,0.0534188039600849,0.2136752158403396,0.0400641039013862,0.0133547009900212,0.2938034236431122,0.0267094019800424,0.3872863352298736,1.121794819831848,0.0,0.0,0.0,0.1201923042535781,0.0,0.0934829041361808,0.1469017118215561,0.0267094019800424,0.0534188039600849,0.0,0.0400641039013862,0.0133547009900212,0.0267094019800424,0.3338675200939178,0.0,0.0801282078027725,0.2670940160751343,0.0,0.0,0.0400641039013862,0.0,0.0667735040187835,0.0,0.0,1.7761752605438232,0.0,0.0,0.6410256624221802
1900-05-01,,,,,,,,,,,,,,,,,64.40519714355469,48.200008392333984,74.37395477294922,,2.32336950302124,64.23833465576172,,105.35204315185548,,55.6085090637207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1222826093435287,0.0271739121526479,0.0543478243052959,0.2581521868705749,0.0135869560763239,0.0271739121526479,0.1086956486105918,0.0543478243052959,0.407608687877655,0.0271739121526479,0.0407608710229396,0.2581521868705749,0.0,0.489130437374115,1.1141303777694702,0.0,0.0271739121526479,0.0,0.2173912972211837,0.0,0.1222826093435287,0.0679347813129425,0.0,0.0679347813129425,0.0,0.1902173906564712,0.0271739121526479,0.0,0.489130437374115,0.0,0.0815217420458793,0.176630437374115,0.0,0.0,0.1630434840917587,0.0,0.0815217420458793,0.0,0.0,1.9701087474823,0.0135869560763239,0.0,0.7880434989929199
1900-06-01,,,,,,,,,,,,,,,,,83.6102523803711,70.00657653808594,93.97769165039062,,3.0161776542663574,77.46733856201172,,124.27394104003906,,76.15156555175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0685494914650917,0.1233890876173973,0.0,0.0548395924270153,0.0274197962135076,0.0137098981067538,1.494378924369812,0.0548395924270153,0.6854948997497559,0.0548395924270153,0.0548395924270153,0.1370989829301834,0.0,0.9871127009391784,1.6040581464767456,0.0,0.0,0.0,0.3016177713871002,0.0,0.2056484818458557,0.726624608039856,0.0411296971142292,0.0548395924270153,0.0,0.1370989829301834,0.0274197962135076,0.0274197962135076,0.5346860289573669,0.0137098981067538,0.0685494914650917,0.9459829926490784,0.0,0.0137098981067538,0.0822593942284584,0.0137098981067538,0.1096791848540306,0.0274197962135076,0.0,2.7282698154449463,0.0274197962135076,0.0411296971142292,0.6717850565910339
1900-07-01,,,,,,,,,,,,,,,,,108.57112121582033,87.0623779296875,125.7090835571289,,3.9166224002838135,95.87948608398438,,134.7261962890625,,105.65846252441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0265533719211816,0.0663834288716316,0.0929368063807487,0.039830058813095,0.0796601176261901,0.0663834288716316,0.0531067438423633,2.8013808727264404,0.0531067438423633,1.1019649505615234,0.039830058813095,0.0531067438423633,0.4779607057571411,0.0132766859605908,1.2081784009933472,1.8189059495925903,0.0132766859605908,0.039830058813095,0.0132766859605908,0.6240042448043823,0.0132766859605908,0.2788104116916656,1.0355814695358276,0.0663834288716316,0.1194901764392852,0.0,0.0929368063807487,0.0132766859605908,0.0,0.6240042448043823,0.0132766859605908,0.039830058813095,1.0355814695358276,0.0,0.0132766859605908,0.2522570490837097,0.0,0.1460435539484024,0.039830058813095,0.0,3.544875144958496,0.0265533719211816,0.0265533719211816,0.2920871078968048
1900-08-01,,,,,,,,,,,,,,,,,108.50281524658205,63.841644287109375,149.760986328125,,3.914158344268799,95.914794921875,,126.37020111083984,,115.74249267578124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0809825882315635,0.1349709779024124,0.0,0.1079767867922782,0.0,0.0,2.6454312801361084,0.0,1.0662707090377808,0.0134970983490347,0.0269941966980695,0.3779187500476837,0.0134970983490347,1.079767823219299,1.9030908346176147,0.0134970983490347,0.0404912941157817,0.0,0.2564448714256286,0.0269941966980695,0.4454042315483093,1.26872718334198,0.0674854889512062,0.0809825882315635,0.0,0.0944796875119209,0.0,0.0,0.5398839116096497,0.0539883933961391,0.0269941966980695,1.1067620515823364,0.0,0.0404912941157817,0.2429477721452713,0.0134970983490347,0.0809825882315635,0.0404912941157817,0.0,3.549736738204956,0.0269941966980695,0.0134970983490347,0.2429477721452713
1900-09-01,,,,,,,,,,,,,,,,,62.81330108642578,54.69841384887695,67.58177947998047,,2.2659430503845215,65.52025604248047,,108.19073486328124,,62.58487319946289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542740859091281,0.027137042954564,0.0407055616378784,0.0542740859091281,0.0407055616378784,0.027137042954564,0.0678426027297973,0.9090909361839294,0.0542740859091281,0.719131588935852,0.0,0.013568521477282,0.4613297283649444,0.013568521477282,0.5427408218383789,0.7734056711196899,0.0,0.027137042954564,0.0,0.1221166923642158,0.027137042954564,0.2442333847284317,0.2985074520111084,0.013568521477282,0.1221166923642158,0.0,0.027137042954564,0.013568521477282,0.027137042954564,0.4070556163787842,0.013568521477282,0.0949796438217163,0.7869741916656494,0.0,0.0,0.1356852054595947,0.0,0.0407055616378784,0.013568521477282,0.0,2.008141040802002,0.013568521477282,0.0,0.1763907670974731
1900-10-01,,,,,,,,,,,,,,,,,43.3669319152832,31.717626571655273,51.4328498840332,,1.564429759979248,46.68329620361328,,88.74467468261719,,37.88948440551758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0548922754824161,0.1097845509648323,0.0,0.0411692038178443,0.0,0.0,0.4391382038593292,0.013723068870604,0.3156305849552154,0.0,0.027446137741208,0.2744613587856293,0.027446137741208,0.2744613587856293,0.4528612494468689,0.027446137741208,0.013723068870604,0.0,0.1235076189041137,0.0,0.0548922754824161,0.0686153396964073,0.013723068870604,0.0411692038178443,0.0,0.0548922754824161,0.013723068870604,0.0411692038178443,0.4116920530796051,0.0,0.013723068870604,0.1783998906612396,0.0,0.013723068870604,0.0686153396964073,0.0,0.027446137741208,0.0,0.0,1.2625223398208618,0.0,0.0,0.2058460265398025
1900-11-01,,,,,,,,,,,,,,,,,47.34355926513672,38.18849563598633,50.53418731689453,,1.707883596420288,46.28224563598633,,81.49401092529297,,45.26858901977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0273261368274688,0.0136630684137344,0.0273261368274688,0.0273261368274688,0.0409892052412033,0.0273261368274688,0.0409892052412033,0.4508812725543976,0.0409892052412033,0.4645443260669708,0.0,0.0273261368274688,0.3279136419296264,0.0136630684137344,0.4235551357269287,0.6011750102043152,0.0,0.0546522736549377,0.0,0.0819784104824066,0.0,0.1639568209648132,0.0819784104824066,0.0,0.0273261368274688,0.0,0.0819784104824066,0.0,0.0409892052412033,0.3415767252445221,0.0273261368274688,0.0273261368274688,0.2049460262060165,0.0,0.0136630684137344,0.0683153420686721,0.0,0.0409892052412033,0.0,0.0,1.5985790491104126,0.0,0.0136630684137344,0.2869244515895843
1900-12-01,,,,,,,,,,,,,,,,,49.31974792480469,49.92506790161133,42.579345703125,,1.7791732549667358,54.120216369628906,,86.0373764038086,,47.59330749511719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026164311915636,0.065410777926445,0.0392464660108089,0.026164311915636,0.065410777926445,0.0392464660108089,0.0392464660108089,0.3270539045333862,0.0784929320216178,0.3663003742694855,0.013082155957818,0.13082155585289,0.2485609650611877,0.013082155957818,0.39246466755867,0.9157509207725524,0.0,0.013082155957818,0.0,0.1569858640432357,0.0,0.1046572476625442,0.1177394017577171,0.026164311915636,0.026164311915636,0.0,0.1700680255889892,0.013082155957818,0.026164311915636,0.196232333779335,0.0,0.065410777926445,0.1439037173986435,0.0,0.026164311915636,0.0915750935673713,0.013082155957818,0.0915750935673713,0.0,0.0,1.6091052293777466,0.0784929320216178,0.0,0.4055468440055847
