r_Oil_EUR,hormuz_ceasefire,-9.34**,-11.83,-45.91***
r_Oil_EUR,hormuz_closure,30.2***,59.04***,45.97***
r_Oil_EUR,iran_12day,11.33**,1.59,-2.88
r_Oil_EUR,liberation_day,-16.41***,-27.02***,-19.07
r_Oil_EUR,tariff_pause,0.71,-10.29,14.41
r_Oil_EUR,ukraine,17.16***,24.91**,18.92
r_SP500,hormuz,-1.64,-9.58***,3.88
r_SP500,hormuz_ceasefire,4.8***,7.83**,9.07*
r_SP500,hormuz_closure,-1.64,-9.58***,3.88
r_SP500,iran_12day,-0.89,4.87,10.11
r_SP500,liberation_day,-3.9*,-3.66,0.58
r_SP500,tariff_pause,5.16***,10.31***,13.57**
r_SP500,ukraine,2.76,5.14,-5.77
