typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20190101","2019","52","2019","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9398316256.438","true","-1","N/A","0","false","9398316256.438","true","0","false","4813815110","4654709029","4813815110","6","false","true",
"C","A","20190101","2019","52","2019","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"24199539301","24199539301","0","false","true",
"C","A","20190101","2019","52","2019","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29669981491.399","true","-1","N/A","0","false","29669981491.399","true","0","false",,"14297140175.652","14297140175.652","6","false","true",
"C","A","20190101","2019","52","2019","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","148162456.8","145837814.27","148162456.8","0","false","true",
"C","A","20190101","2019","52","2019","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","145392729987.636","true","-1","N/A","0","false","145392729987.636","true","0","false",,"68104060281.267","68104060281.267","6","false","true",
"C","A","20190101","2019","52","2019","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32647277120","false","12","m�","35312066.85","false","32647277120","false","0","false",,"12979915800.03","12979915800.03","0","false","true",
"C","A","20190101","2019","52","2019","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","146588112700","false","8","kg","146588112700","false","146588112700","false","0","false","73086768742.827","0","73086768742.827","0","false","true",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","143056696295.27","false","8","kg","143056696295.27","false","143056696295.27","false","0","false","70251768064",,"70251768064","0","false","true",
"C","A","20190101","2019","52","2019","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H4","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42732456.187","true","-1","N/A","0","false","42732456.187","true","0","false",,"20591584","20591584","6","false","true",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","0","W00","World","0","W00","World","H5","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1301.114","true","-1","N/A","0","false","1301.114","true","0","false",,"5724","5724","6","false","true",
