,Pre-event,Post 1d,Chg 1d,Post 1w,Chg 1w,Post 2w,Chg 2w
P3_US_5Y,3.917,3.744,-0.1729999999999996,3.881,-0.03600000000000003,4.147,0.23000000000000043
P3_TIPS_5Y,1.319,1.188,-0.131,1.512,0.19300000000000006,1.757,0.43799999999999994
P3_DE_1Y,2.025,2.003,-0.021999999999999797,1.907,-0.11799999999999988,1.884,-0.14100000000000001
P3_US_1Y,4.022,3.931,-0.09100000000000019,3.913,-0.10900000000000043,4.056,0.03399999999999981
P3_EURUSD,1.0794,1.1052,0.025800000000000045,1.09045,0.011050000000000004,1.13605,0.05665000000000009
