day,month,year,daily_tpu_index
1,1,2015,0.0
2,1,2015,13.7741046831955
3,1,2015,13.4048257372654
4,1,2015,26.1437908496732
5,1,2015,84.3170320404721
6,1,2015,13.6612021857923
7,1,2015,38.3631713554987
8,1,2015,0.0
9,1,2015,22.2965440356744
10,1,2015,24.0963855421686
11,1,2015,35.7142857142857
12,1,2015,15.4083204930662
13,1,2015,40.5405405405405
14,1,2015,24.3605359317905
15,1,2015,39.0243902439024
16,1,2015,0.0
17,1,2015,13.0548302872062
18,1,2015,24.7524752475247
19,1,2015,0.0
20,1,2015,41.8410041841004
21,1,2015,0.0
22,1,2015,20.3458799593082
23,1,2015,43.3839479392624
24,1,2015,38.1194409148665
25,1,2015,12.9701686121919
26,1,2015,29.2825768667642
27,1,2015,13.4048257372654
28,1,2015,48.4848484848484
29,1,2015,0.0
30,1,2015,31.6455696202531
31,1,2015,37.1287128712871
1,2,2015,64.51612903225801
2,2,2015,62.8930817610062
3,2,2015,54.20054200542
4,2,2015,12.5470514429109
5,2,2015,9.9403578528827
6,2,2015,0.0
7,2,2015,12.5944584382871
8,2,2015,22.883295194508
9,2,2015,15.2905198776758
10,2,2015,14.0646976090014
11,2,2015,12.5
12,2,2015,19.7433366238894
13,2,2015,11.0375275938189
14,2,2015,12.7388535031847
15,2,2015,23.0149597238204
16,2,2015,39.0625
17,2,2015,29.8507462686567
18,2,2015,26.7022696929238
19,2,2015,10.2774922918807
20,2,2015,22.0750551876379
21,2,2015,99.626400996264
22,2,2015,22.6244343891402
23,2,2015,15.552099533437
24,2,2015,53.5475234270415
25,2,2015,24.6609124537607
26,2,2015,0.0
27,2,2015,22.2222222222222
28,2,2015,62.26650062266501
1,3,2015,37.6884422110552
2,3,2015,46.80187207488299
3,3,2015,51.9480519480519
4,3,2015,24.7831474597273
5,3,2015,0.0
6,3,2015,0.0
7,3,2015,12.531328320802
8,3,2015,11.1731843575418
9,3,2015,46.9483568075117
10,3,2015,26.525198938992
11,3,2015,0.0
12,3,2015,40.3225806451612
13,3,2015,0.0
14,3,2015,16.3934426229508
15,3,2015,45.2488687782805
16,3,2015,60.88280060882801
17,3,2015,0.0
18,3,2015,27.10027100271
19,3,2015,19.2492781520692
20,3,2015,11.3507377979568
21,3,2015,15.7232704402515
22,3,2015,11.6959064327485
23,3,2015,31.5457413249211
24,3,2015,28.4090909090909
25,3,2015,14.0646976090014
26,3,2015,10.0704934541792
27,3,2015,0.0
28,3,2015,16.3398692810457
29,3,2015,10.9051254089422
30,3,2015,16.8918918918918
31,3,2015,14.1643059490085
1,4,2015,26.6311584553928
2,4,2015,0.0
3,4,2015,27.5862068965517
4,4,2015,0.0
5,4,2015,33.003300330033
6,4,2015,0.0
7,4,2015,39.3184796854521
8,4,2015,13.4952766531713
9,4,2015,10.5042016806722
10,4,2015,11.7508813160987
11,4,2015,15.1057401812688
12,4,2015,0.0
13,4,2015,16.1550888529886
14,4,2015,14.4927536231884
15,4,2015,12.30012300123
16,4,2015,9.40733772342427
17,4,2015,45.4545454545454
18,4,2015,49.7512437810945
19,4,2015,11.001100110011
20,4,2015,32.8407224958949
21,4,2015,41.8410041841004
22,4,2015,38.3141762452107
23,4,2015,20.3252032520325
