start,start_date,end_date,beta,se_cl,t_cl,se_hac5,t_hac5,se_hc3,t_hc3,quiet,covid,shock_sd,usd_sd
0,2019-01-03,2019-01-31,0.029276980707743684,0.09455150968382384,0.3096405420246027,0.043450617939504284,0.6737989491543166,0.0736166086087915,0.39769531986084106,True,False,0.7157410330120507,0.245587993804021
1,2019-01-04,2019-02-01,0.07434170686609155,0.10293390187101781,0.7222276190330962,0.033067103791407086,2.2482073826317444,0.04890838226991413,1.5200197474497672,True,False,0.6572182035952596,0.24908170150025682
2,2019-01-07,2019-02-04,0.040848997062404024,0.13028398995637858,0.31353811835269246,0.06550249456882468,0.6236250593400413,0.07541441735777013,0.5416603150113081,True,False,0.5188714415476146,0.23873763186783412
3,2019-01-08,2019-02-05,0.05185251536092462,0.1305012745605628,0.397333401804141,0.06150295242786322,0.8430898568933323,0.07265749056802673,0.7136568433006488,True,False,0.518038467611723,0.23047709230115543
4,2019-01-09,2019-02-06,0.06576109981429788,0.1317868630917984,0.4989958655324458,0.06210802023769645,1.0588181616902383,0.0767245007988052,0.8571069101738874,True,False,0.5129570187155555,0.23123690196794283
5,2019-01-10,2019-02-07,0.0643511514988993,0.1279733781843138,0.5028479548786896,0.06647435751602003,0.9680597737765417,0.08312270540833995,0.7741705612536856,True,False,0.5282908569421213,0.2053466166301145
6,2019-01-11,2019-02-08,0.05932469328153625,0.12761743196892336,0.46486355638297633,0.06700430012463464,0.8853863583559032,0.0831281009092875,0.7136538984124463,True,False,0.5297659996237827,0.2044599308028054
7,2019-01-14,2019-02-11,0.07778694973623347,0.13096122159613885,0.5939693352595214,0.07471725703813438,1.0410841192488152,0.1047631941585942,0.7425026543050688,True,False,0.5161391679204852,0.22601243198270377
8,2019-01-15,2019-02-12,0.09853223318978559,0.1335790416675014,0.7376324306551573,0.07264781813045464,1.3562999650292313,0.11539098956101665,0.8538988491617323,True,False,0.505991474218581,0.2354514249055653
9,2019-01-16,2019-02-13,0.11082361712734481,0.13344143487215135,0.8305037879240702,0.07074234087309786,1.566581141641147,0.11870770069677376,0.9335840596427016,True,False,0.5065045749257849,0.23214282845286385
10,2019-01-17,2019-02-14,0.12798000371338777,0.13291708777898326,0.9628559115453617,0.06694906941658305,1.9116024289605373,0.13441117732863334,0.9521529850190849,True,False,0.5084462758934362,0.22857379388883942
11,2019-01-18,2019-02-15,0.15159845050504603,0.13095406529261053,1.1576460048514463,0.05521624352962177,2.7455408194097495,0.1344382865312652,1.1276434296846682,True,False,0.5160692739554333,0.22556039133871933
12,2019-01-21,2019-02-18,0.15239347513640658,0.1309351967237847,1.1638847227448654,0.05316485237754209,2.8664327713017532,0.13035709801761008,1.169046238784938,True,False,0.516151360290585,0.22433971107393708
13,2019-01-22,2019-02-19,0.14885904452594423,0.130961793485015,1.1366600942509013,0.049698140195026226,2.9952638859681513,0.11928081292910338,1.2479714119187064,True,False,0.5160667697903913,0.2396604538756939
14,2019-01-23,2019-02-20,0.2318098975941173,0.17564501928893453,1.3197635693431877,0.07398867394951295,3.133045711189466,0.14799293896744453,1.5663578222817158,True,False,0.38447235012838327,0.23646013548056793
15,2019-01-24,2019-02-21,0.21217142827791724,0.17908266095654438,1.1847681240865753,0.07730144715806896,2.744727764851038,0.15252638868577312,1.3910473466661675,True,False,0.3771123077453765,0.23430839505842965
16,2019-01-25,2019-02-22,0.23031148252508837,0.17655259878299287,1.30449216897777,0.07517642251610651,3.06361322894481,0.14724740391281657,1.564112347009208,True,False,0.3824949238861903,0.2382911825247796
17,2019-01-28,2019-02-25,0.08434099529100471,0.17185329294838575,0.49077322781551586,0.08099645383330853,1.0412924430565722,0.11675195906504895,0.722394690131184,True,False,0.3931209817776013,0.20959094213709234
18,2019-01-29,2019-02-26,0.1039733037828457,0.1895700584291252,0.548469017968459,0.108886616092392,0.9548768022566034,0.14410660354700103,0.7215027016366694,True,False,0.35631879886632367,0.2101046807634135
19,2019-01-30,2019-02-27,0.10972482118200501,0.19071628767197274,0.5753301016991741,0.11683135540965406,0.9391727143562539,0.14876463699175818,0.7375732795159105,True,False,0.35417121623741443,0.21013862080287635
20,2019-01-31,2019-02-28,0.16164044992483462,0.2070558990726834,0.7806609261013787,0.13885530319360279,1.1640927368792175,0.17607184952620059,0.9180368716509762,True,False,0.3261621045581553,0.21227748895496204
21,2019-02-01,2019-03-01,-0.011374996210445812,0.20434017622994433,-0.05566695899119471,0.13906773817262558,-0.08179464453736901,0.1495026651967085,-0.07608557476536712,True,False,0.33051762803448265,0.19268361458896832
22,2019-02-04,2019-03-04,0.012156489760878606,0.19174343274461328,0.06339977117792642,0.11443007791390028,0.10623509117965836,0.13217532323913384,0.0919724609932285,True,False,0.35226949911893046,0.19133064919670612
23,2019-02-05,2019-03-05,0.01959595669738041,0.1926066081822883,0.10174083268645823,0.11489242229577332,0.17055917445045732,0.1347508448832194,0.14542362769126288,True,False,0.35069007541687613,0.19116787799254112
24,2019-02-06,2019-03-06,0.03389946269304259,0.18383766329781887,0.1843988989248907,0.10292793343934938,0.3293514360998801,0.12490848692110966,0.271394390634585,True,False,0.36744436403952835,0.19115674862880275
25,2019-02-07,2019-03-07,0.08980196109063951,0.17905215549001344,0.501540798796182,0.10899499236735447,0.8239090543533674,0.1369047266432236,0.6559449282176004,True,False,0.3772374426860649,0.20997116600004503
26,2019-02-08,2019-03-08,0.09156329337204945,0.1838720268436713,0.49797293772095585,0.12037282328909749,0.7606641671280182,0.14556625461993009,0.6290145584298982,True,False,0.3673544389367284,0.21091312694916958
27,2019-02-11,2019-03-11,0.08743522944535381,0.16690254878988767,0.5238699473393025,0.09975198951971397,0.8765261712206152,0.11808644622337344,0.7404340823328742,True,False,0.40477575604526017,0.2118227852629627
28,2019-02-12,2019-03-12,0.08678117695224177,0.16624158469766798,0.5220184655365544,0.09683659915704737,0.8961609319995021,0.12017879780091764,0.7221005580035778,True,False,0.4064140335053422,0.20033317838637202
29,2019-02-13,2019-03-13,0.07790090573647987,0.16699480808410133,0.4664869922018635,0.0966395761411879,0.8060973448669588,0.11890031319977785,0.6551783055910858,True,False,0.40458331662143776,0.19558410381037775
30,2019-02-14,2019-03-14,0.07109810104665162,0.16739472354025298,0.42473322660946866,0.09604167771255842,0.7402838303120858,0.11931489074913361,0.595886235156846,True,False,0.4036180727037031,0.19138977688202138
31,2019-02-15,2019-03-15,0.06994276336287655,0.16893536117640587,0.4140208590778152,0.10023116053613401,0.6978145617466108,0.12396698897633439,0.5642047446697992,True,False,0.39992350491480994,0.1920141548403452
32,2019-02-18,2019-03-18,0.06448808353694034,0.17759978838442603,0.3631090111287283,0.10646295471878776,0.6057326110033275,0.13856498058361502,0.4653995783445872,True,False,0.38037902617762975,0.19273295052979086
33,2019-02-19,2019-03-19,0.04772950325922478,0.17560108799271842,0.27180642104679875,0.10337808943898186,0.4616984461431429,0.13627233874961353,0.3502508557288567,True,False,0.3847099046722494,0.19561492472390993
34,2019-02-20,2019-03-20,0.04451606089246034,0.17447661585191712,0.2551405566591358,0.10362499268795297,0.42958807270087845,0.13149843526755065,0.33852920608436615,True,False,0.3872103746122477,0.180218194515874
35,2019-02-21,2019-03-21,0.05153247623575392,0.17891399544738867,0.2880293188182001,0.1064542064536085,0.484081164591755,0.14001115921545668,0.3680597784098979,True,False,0.3775887903537008,0.18032342939665516
36,2019-02-22,2019-03-22,0.13924252113387828,0.1397223422625999,0.9965658954684582,0.0798034464747014,1.7448183917472755,0.12321906288601323,1.1300404164142033,True,False,0.48365549749289405,0.20694715446414283
37,2019-02-25,2019-03-25,0.13309043122258016,0.1436257079643218,0.9266476949630861,0.09426221095043566,1.4119171392294299,0.13582568307091103,0.9798620423877944,True,False,0.47049287160458075,0.2084147231405473
38,2019-02-26,2019-03-26,0.10389149825337486,0.13889982184920044,0.74795991002902,0.06648551141157319,1.5626186224280194,0.13983495985218145,0.7429579724783977,True,False,0.48657217638547207,0.21056668019502528
