offset,n,rej5_hac5,rej5_hc3,rej5_cl,p_two_sided_t_hac5,p_two_sided_t_cl,sd_beta
0,87,0.2413793103448276,0.09195402298850575,0.11494252873563218,0.1839080459770115,0.011494252873563218,0.16983736939970637
1,88,0.32954545454545453,0.11363636363636363,0.125,0.19318181818181818,0.022727272727272728,0.16551676259781006
2,86,0.313953488372093,0.11627906976744186,0.10465116279069768,0.19767441860465115,0.011627906976744186,0.15470342826374658
3,86,0.26744186046511625,0.10465116279069768,0.12790697674418605,0.16279069767441862,0.03488372093023256,0.15372322153708196
4,86,0.2558139534883721,0.10465116279069768,0.11627906976744186,0.13953488372093023,0.03488372093023256,0.15613683755579352
5,86,0.22093023255813954,0.08139534883720931,0.09302325581395349,0.1511627906976744,0.023255813953488372,0.1465170238536091
6,86,0.26744186046511625,0.11627906976744186,0.10465116279069768,0.18604651162790697,0.011627906976744186,0.14828353261878033
7,86,0.3023255813953488,0.10465116279069768,0.10465116279069768,0.1511627906976744,0.011627906976744186,0.16535624421161732
8,86,0.23255813953488372,0.10465116279069768,0.11627906976744186,0.18604651162790697,0.011627906976744186,0.16586866516805227
9,86,0.2558139534883721,0.10465116279069768,0.10465116279069768,0.1744186046511628,0.011627906976744186,0.1565564837497273
10,86,0.27906976744186046,0.10465116279069768,0.09302325581395349,0.1744186046511628,0.011627906976744186,0.15068567737572594
11,86,0.27906976744186046,0.12790697674418605,0.08139534883720931,0.19767441860465115,0.011627906976744186,0.15043855027460268
12,87,0.28735632183908044,0.12643678160919541,0.11494252873563218,0.19540229885057472,0.034482758620689655,0.16254342937723548
13,86,0.3023255813953488,0.13953488372093023,0.12790697674418605,0.19767441860465115,0.023255813953488372,0.1683666606552899
14,86,0.27906976744186046,0.12790697674418605,0.09302325581395349,0.19767441860465115,0.023255813953488372,0.17564788365587786
15,86,0.29069767441860467,0.12790697674418605,0.11627906976744186,0.19767441860465115,0.023255813953488372,0.17775143596754364
16,86,0.3023255813953488,0.1511627906976744,0.10465116279069768,0.18604651162790697,0.03488372093023256,0.17730755875807155
17,86,0.313953488372093,0.13953488372093023,0.12790697674418605,0.18604651162790697,0.03488372093023256,0.1676598492253514
18,86,0.29069767441860467,0.13953488372093023,0.10465116279069768,0.16279069767441862,0.046511627906976744,0.16503991300118273
19,87,0.28735632183908044,0.12643678160919541,0.11494252873563218,0.1724137931034483,0.034482758620689655,0.16005984432394801
20,86,0.313953488372093,0.09302325581395349,0.11627906976744186,0.1744186046511628,0.011627906976744186,0.16970382060307831
