spec,term,dropped,beta,within_slope,t_HAC5,t_HC3
A: VIX,vix_tariff,"two largest |DFBETAS| (04 Apr, 03 Apr)",-0.09315507708386242,-0.02371280091735939,-3.6085044256156227,-1.3794593274400502
A: VIX,vix_tariff,three largest |DFBETAS| (+10 Apr),-0.05387130137702731,0.015570974789475653,-1.9321245294690668,-1.996069855026775
A: VIX,vix_tariff,days 0 and +1 (2 and 3 Apr 2025),-0.04391408427909341,0.025528191887409693,-1.2084099825781154,-0.7272887266635609
A: VIX,vix_tariff,"day +5 (9 Apr 2025, tariff pause)",-0.07578797294376802,-0.006345696777264806,-1.7252548676795965,-0.5541493700159338
A: VIX,vix_tariff,days +1 and +2 (3 and 4 Apr 2025),-0.09315507708386242,-0.02371280091735939,-3.6085044256156227,-1.3794593274400502
