spec,beta,normal_slope,within_slope,t_hac5,t_hc3,t_hc0,t_classical,loo_beta_min,loo_beta_max,loo_within_slope_min,loo_within_slope_max,loo_days_t_hac5_below_1.96,loo_days_t_hac5_below_2.58,placebo_p_two_sided_t_hac5,placebo_p_one_sided_t_hac5,placebo_p_two_sided_t_hc3,placebo_p_two_sided_t_cl,placebo_p_one_sided_t_cl,placebo_rej5_hac5,placebo_rej5_hc3,placebo_rej5_cl,placebo_sd_beta
A: VIX,-0.07100636803978726,0.06944227616650309,-0.0015640918732841708,-2.581770461802944,-1.0645180685372613,-1.4125194785918087,-3.153831667998861,-0.12607990115316425,-0.043911604888180425,-0.056637624986661125,0.02553067127832262,3,13,0.17945886250690227,0.05632247377139702,0.31860850358917725,0.02263942573163998,0.007730535615681944,0.2816123688569851,0.11651021535063501,0.10988404196576478,0.1618020100545116
C: VXY,-0.12650411952671542,0.10709714969452185,-0.019406969832193574,-3.1972589106901053,-1.6764494552447002,-2.023234304235604,-4.631709637243525,-0.1726732730093642,-0.08978204394819157,-0.06557612331484258,0.01731510574633137,1,2,0.21976808393152955,0.07454445057979017,0.3031474323578134,0.009387078961899503,0.009387078961899503,0.43787962451684154,0.24185532854776368,0.23136388735505245,0.16457959050855434
