date,usd,shock,dfbetas,cooks,leverage,day,spec,term
2025-04-10,-1.22281703415936,-3.692758923728724,1.6984481700055332,0.521843168692159,0.1771051866186944,6,C: VXY,vxy_tariff
2025-04-11,-0.8612475371617001,5.4132488768296065,-1.3463213002192977,0.29238430691463463,0.2729226658666564,7,C: VXY,vxy_tariff
2025-04-03,-1.3137716453083899,3.0213482103234943,-1.0795431505808242,0.26696994137454333,0.11287897514121649,1,C: VXY,vxy_tariff
2025-04-04,0.86316539660904,3.063311379911327,1.0507657196737001,0.24996302195703843,0.11485857909366401,2,C: VXY,vxy_tariff
2025-04-14,-0.28787617876817,-4.301224882752205,0.4094849169928202,0.02856398720966578,0.22034537786068983,8,C: VXY,vxy_tariff
2025-04-23,0.49518787219095994,-1.6785267835130562,-0.38637400366353675,0.05073925112896315,0.07833203402017352,15,C: VXY,vxy_tariff
2025-04-21,-0.54789966700976,2.307974327330446,-0.2511358911383639,0.019512464294618493,0.08375112061358553,13,C: VXY,vxy_tariff
2025-04-07,0.8037532023529901,0.9441713157260917,0.2228184716726318,0.08066239499251013,0.051857207948557,3,C: VXY,vxy_tariff
2025-04-15,0.09392335995217001,-1.55263727474958,-0.12235592875778198,0.005551745792751878,0.07442141831475219,9,C: VXY,vxy_tariff
2025-04-08,0.03043024127231,-1.804416292276533,-0.09411935808800781,0.0027982239713982586,0.08250885047053438,4,C: VXY,vxy_tariff
2025-04-16,-0.40769395595843,1.3428214268104453,-0.08659675777733958,0.005617945895831416,0.057948662693374065,10,C: VXY,vxy_tariff
2025-04-22,0.08417371335295999,-0.8812265613443496,-0.07623739127906201,0.004316227546480576,0.058060636022594536,14,C: VXY,vxy_tariff
2025-04-09,-0.18840628733913,4.2592617131643795,0.05556213126482369,0.0005567165323793236,0.18371108486662877,5,C: VXY,vxy_tariff
2025-04-25,-0.031975799555529996,-0.77631863737479,-0.031373933358028884,0.000862174565473741,0.05618825181463695,17,C: VXY,vxy_tariff
2025-04-29,-0.10044352527226999,0.9441713157260917,0.01388350946708545,0.0003150634910386988,0.051857207948557,19,C: VXY,vxy_tariff
2025-04-24,-0.08139856347150999,-0.18883426314521828,-0.007833864603720304,0.00026844344716586346,0.049119143143464564,16,C: VXY,vxy_tariff
2025-04-17,-0.11574573272498999,-1.7834347074826162,0.005375553626573632,9.239237881077665e-06,0.0817942282326311,11,C: VXY,vxy_tariff
2025-04-30,-0.001876122869770569,0.16785267835130172,-0.0030606800584852562,0.001632838732175585,0.047655567222378285,20,C: VXY,vxy_tariff
2025-04-18,-0.11644902527248001,0.0,-0.0019591565072306838,5.370218221817717e-05,0.048078108087361696,12,C: VXY,vxy_tariff
2025-04-02,-0.04169058134095,0.27276060232087646,0.0013332960504348402,0.0008870114148139926,0.04763179929872296,0,C: VXY,vxy_tariff
2025-04-28,-0.13696880930469,-0.16785267835130172,-0.00028186715200821373,3.836554519797614e-07,0.04897389472112649,18,C: VXY,vxy_tariff
