offset,n,rej5_hac5,rej5_hc3,rej5_cl,p_two_sided_t_hac5,p_two_sided_t_cl,sd_beta
0,87,0.27586206896551724,0.10344827586206896,0.11494252873563218,0.1724137931034483,0.011494252873563218,0.16910936323165462
1,88,0.32954545454545453,0.11363636363636363,0.125,0.19318181818181818,0.022727272727272728,0.16485575628853924
2,86,0.3372093023255814,0.11627906976744186,0.11627906976744186,0.19767441860465115,0.03488372093023256,0.15355434924415662
3,86,0.2441860465116279,0.10465116279069768,0.11627906976744186,0.12790697674418605,0.03488372093023256,0.152131702911519
4,86,0.23255813953488372,0.10465116279069768,0.11627906976744186,0.11627906976744186,0.03488372093023256,0.1545928880588573
5,86,0.22093023255813954,0.08139534883720931,0.09302325581395349,0.13953488372093023,0.023255813953488372,0.14535159725425914
6,86,0.26744186046511625,0.12790697674418605,0.10465116279069768,0.18604651162790697,0.011627906976744186,0.14746623933596947
7,86,0.3023255813953488,0.11627906976744186,0.10465116279069768,0.12790697674418605,0.023255813953488372,0.16453237306827653
8,86,0.2558139534883721,0.10465116279069768,0.10465116279069768,0.16279069767441862,0.023255813953488372,0.1645546052196433
9,86,0.26744186046511625,0.11627906976744186,0.09302325581395349,0.1744186046511628,0.03488372093023256,0.15552567275829265
10,86,0.26744186046511625,0.11627906976744186,0.09302325581395349,0.16279069767441862,0.023255813953488372,0.1502453993901879
11,86,0.3023255813953488,0.11627906976744186,0.08139534883720931,0.16279069767441862,0.023255813953488372,0.15002704823010043
12,87,0.26436781609195403,0.14942528735632185,0.11494252873563218,0.1724137931034483,0.034482758620689655,0.16160443255830742
13,86,0.32558139534883723,0.13953488372093023,0.11627906976744186,0.1744186046511628,0.023255813953488372,0.1680055087843745
14,86,0.3023255813953488,0.12790697674418605,0.09302325581395349,0.16279069767441862,0.023255813953488372,0.1748571162901349
15,86,0.313953488372093,0.13953488372093023,0.10465116279069768,0.1744186046511628,0.023255813953488372,0.17701681880065606
16,86,0.3023255813953488,0.16279069767441862,0.10465116279069768,0.1744186046511628,0.03488372093023256,0.17642217139140348
17,86,0.313953488372093,0.16279069767441862,0.11627906976744186,0.1744186046511628,0.046511627906976744,0.16709826320560692
18,86,0.3023255813953488,0.13953488372093023,0.10465116279069768,0.1511627906976744,0.046511627906976744,0.1645309903054385
19,87,0.3103448275862069,0.12643678160919541,0.11494252873563218,0.16091954022988506,0.034482758620689655,0.15944227793513985
20,86,0.29069767441860467,0.10465116279069768,0.11627906976744186,0.1744186046511628,0.023255813953488372,0.16939844196321976
