n_placebo,rej5_hac5,rej1_hac5,rej5_hc3,rej1_hc3,rej5_cl,rej1_cl,sd_beta,med_se_hac5,med_se_hc3,med_se_cl,p_two_sided_beta,p_one_sided_beta,p_two_sided_t_hac5,p_one_sided_t_hac5,p_two_sided_t_hc3,p_one_sided_t_hc3,p_two_sided_t_cl,p_one_sided_t_cl,beta_q01,beta_q05,beta_q95,beta_q99,spec,target,variant,actual_beta,actual_t_hac5,actual_t_hc3,actual_t_cl,actual_shock_sd,shock_sd_percentile
1811,0.2816123688569851,0.17945886250690227,0.11651021535063501,0.054113749309773605,0.10988404196576478,0.05245720596355605,0.1618020100545116,0.06685296620693783,0.11105445241887404,0.11155884050273308,0.500276090557703,0.13031474323578135,0.17945886250690227,0.05632247377139702,0.31860850358917725,0.10657095527332965,0.02263942573163998,0.007730535615681944,-0.29794942755231996,-0.1542400178571809,0.35245184112220407,0.6409807905955323,A: VIX,tariff,all admissible,-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
1719,0.27399650959860383,0.17102966841186737,0.10529377545084351,0.04304828388598022,0.10762070971495055,0.048283885980221056,0.15961284882730054,0.06703906396984914,0.110111794100104,0.11203563720751497,0.49214659685863876,0.1285631180919139,0.17102966841186737,0.055846422338568937,0.3106457242582897,0.10587550901687028,0.01977894124490983,0.005235602094240838,-0.2676825264308053,-0.1493782213290108,0.35562576969671866,0.6497982957088552,A: VIX,tariff,quiet: other dated episodes excluded,-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
1684,0.2980997624703088,0.19002375296912113,0.12529691211401425,0.05819477434679335,0.11163895486935867,0.05463182897862233,0.16642065661443078,0.0698764520440919,0.11489213073823623,0.11630734760222411,0.5302850356294537,0.13657957244655583,0.19002375296912113,0.05819477434679335,0.33788598574821854,0.10985748218527316,0.022565320665083134,0.006532066508313539,-0.2988214534904671,-0.16117040456845205,0.35658065984872095,0.6531683913353377,A: VIX,tariff,COVID Feb-Jun 2020 excluded,-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
121,0.17355371900826447,0.10743801652892562,0.0743801652892562,0.024793388429752067,0.09090909090909091,0.024793388429752067,0.02900604053389228,0.02329146549863335,0.04083130687411001,0.03622662485907186,0.03305785123966942,0.03305785123966942,0.10743801652892562,0.09917355371900827,0.3140495867768595,0.3140495867768595,0.024793388429752067,0.024793388429752067,-0.08552858358526079,-0.06050948701046111,0.022495875198541626,0.03260242015621318,A: VIX,tariff,shock SD >= half the tariff window's,-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
182,0.21978021978021978,0.11538461538461539,0.04945054945054945,0.016483516483516484,0.06043956043956044,0.016483516483516484,0.03461029981112826,0.02374157540884392,0.04521429424794801,0.039961602011567704,0.06593406593406594,0.054945054945054944,0.11538461538461539,0.10989010989010989,0.25274725274725274,0.25274725274725274,0.016483516483516484,0.016483516483516484,-0.09053579411676131,-0.07297367123299837,0.03072136437977624,0.05834647520671499,A: VIX,tariff,top-decile shock SD,-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
91,0.1978021978021978,0.13186813186813187,0.0989010989010989,0.03296703296703297,0.0989010989010989,0.02197802197802198,0.02037832427479239,0.020839452879832045,0.03768171608896429,0.032250586168450994,0.02197802197802198,0.02197802197802198,0.13186813186813187,0.13186813186813187,0.3516483516483517,0.3516483516483517,0.02197802197802198,0.02197802197802198,-0.07331953091799165,-0.05558619820243568,0.016361149735633858,0.020880960169427077,A: VIX,tariff,top-5% shock SD,-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
1811,0.2860298177802319,0.1755935946990613,0.11430149088901159,0.054665930425179456,0.11485367200441744,0.05521811154058531,0.1618923668999143,0.06689759803025508,0.11107532925646277,0.11120343840652207,0.4892324682495859,0.14853672004417448,0.17504141358365544,0.06626173384870238,0.319712865819989,0.12534511319712865,0.019878520154610713,0.008282716731087797,-0.30560414620117643,-0.16187389479252562,0.3449195481031968,0.6334451705329182,A: VIX,tariff,fourth-window design (real tariff window kept),-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
182,0.35714285714285715,0.17032967032967034,0.08791208791208792,0.038461538461538464,0.15934065934065933,0.054945054945054944,0.03489217202560791,0.02386487307770629,0.04528811992445571,0.03990263121182676,0.07692307692307693,0.06593406593406594,0.17032967032967034,0.17032967032967034,0.33516483516483514,0.33516483516483514,0.02197802197802198,0.02197802197802198,-0.09855285943156396,-0.08238402257497635,0.022971070035367924,0.05069951094526133,A: VIX,tariff,"fourth-window design, top-decile shock SD",-0.07100636803978726,-2.581770461802944,-1.0645180685372613,-3.153831667998861,3.1640849067858423,0.9872998343456654
1811,0.2921038100496963,0.1755935946990613,0.11374930977360574,0.054665930425179456,0.11264494754279404,0.05577029265599116,0.16188895681109572,0.06689767424370995,0.11105489024804713,0.11126223610897484,0.5775814467145224,0.38763114301490886,0.47377139701822196,0.27553837658752073,0.46714522363335176,0.27056874654886803,0.3379348426283821,0.22087244616234125,-0.3069320727112853,-0.16320564989893874,0.34357014967583743,0.6320980866395431,A: VIX,hormuz,all admissible,0.0571734270037899,1.3117572328306113,0.7567947819648493,1.022644556039023,1.2156406002797777,0.8768636112644947
1811,0.2937603533959139,0.17504141358365544,0.11264494754279404,0.05521811154058531,0.11209276642738818,0.05577029265599116,0.16189367881020703,0.06691573718485995,0.11106456646570614,0.11134485206199883,0.21866372170071782,0.1706239646604086,0.030369961347321922,0.015461071231363888,0.06570955273329653,0.0447266703478741,0.06570955273329653,0.0447266703478741,-0.30739527222858215,-0.16366714604677718,0.3431124489192474,0.6316408140494445,A: VIX,ukraine,all admissible,0.16481595607254249,4.835761243877149,2.453187532918712,2.462945288142544,1.0129622243292544,0.8100496963003865
