spec,term,dropped,beta,within_slope,t_HAC5,t_HC3
B: VIX + GPR,vix_tariff,"two largest |DFBETAS| (04 Apr, 03 Apr)",-0.09740378354847928,-0.02758391925490221,-4.575348061062223,-1.4477657925881051
B: VIX + GPR,vix_tariff,three largest |DFBETAS| (+09 Apr),-0.14507430398790044,-0.07525443969432329,-3.4544734196270652,-1.2583086645437096
B: VIX + GPR,vix_tariff,days 0 and +1 (2 and 3 Apr 2025),-0.042015635830951116,0.027804228462626,-1.427869961372423,-0.6496063949455932
B: VIX + GPR,vix_tariff,"day +5 (9 Apr 2025, tariff pause)",-0.0882441500604628,-0.01842428576688579,-2.4765367534996465,-0.6817082101635382
B: VIX + GPR,vix_tariff,days +1 and +2 (3 and 4 Apr 2025),-0.09740378354847928,-0.02758391925490221,-4.575348061062223,-1.4477657925881051
