start,beta,t_cl,se_cl,t_hac5,se_hac5,t_hc3,se_hc3,shock_sd
0,0.031087102026974508,0.3292012783773912,0.09443189947560512,0.7158861393815609,0.04342464578770865,0.42219123197581565,0.07363275139914623,0.7157410330120507
1,0.07615179276281331,0.7407579024808741,0.10280253846469022,2.305299303015993,0.03303336476230436,1.5562529730663845,0.04893278540234148,0.6572182035952596
2,0.0426509071459994,0.3277893703113799,0.13011680978392814,0.6512910787713032,0.06548670561627024,0.5654368114815782,0.07543001495471074,0.5188714415476146
3,0.053653620042594594,0.4116638690242261,0.13033356599832452,0.8726272482691697,0.061485153195725846,0.7382811334550169,0.07267369787916121,0.518038467611723
4,0.06756262627162053,0.5133261084706902,0.13161735816030137,1.0881524890355867,0.06208929993947841,0.8804111587103238,0.07673985683074497,0.5129570187155555
5,0.06615192342349507,0.5175856598570685,0.12780864802506883,0.9954003873304295,0.06645760265465471,0.7956987643087988,0.0831368934963213,0.5282908569421213
6,0.06112498470578656,0.47958788315889284,0.12745314644560185,0.9124796155286025,0.06698778105895183,0.7351852824134972,0.08314228558156508,0.5297659996237827
7,0.07958716040484687,0.6085012538805434,0.13079210584580134,1.0653920582131287,0.07470222796510248,0.759604564120125,0.10477446314061488,0.5161391679204852
8,0.10033288780084898,0.7520841960418084,0.13340645678887722,1.3813777049222653,0.07263247947562253,0.8694265256291099,0.11540122695043026,0.505991474218581
9,0.11262512058141888,0.8450963571889671,0.13326896941792807,1.592413311051931,0.07072606075304655,0.9486804199030442,0.11871766109911834,0.5065045749257849
10,0.12978168766872433,0.977676779583215,0.13274498318764455,1.9390064688259379,0.0669320550267719,0.9654939457506948,0.13441999117645004,0.5084462758934362
11,0.1534018918616773,1.1729361518979375,0.13078452020892736,2.7792575695061164,0.055195277164950686,1.1409831118643001,0.13444711868787218,0.5160692739554333
12,0.15419726844103743,1.1791870892787149,0.1307657367037124,2.9015553371182157,0.05314297007141832,1.1828009234414298,0.13036620566070517,0.516151360290585
13,0.15066337397920665,1.1519265954974094,0.13079251279388096,3.032987922652788,0.04967490073202457,1.2629928399676513,0.11929075859453452,0.5160667697903913
14,0.2336105993390219,1.331747386409411,0.17541660056782302,3.1580262894064757,0.0739736081750374,1.5784402651614637,0.1480009123532623,0.38447235012838327
15,0.21397144195742782,1.1963745506551917,0.17884987760751586,2.7685364588473473,0.07728684275536422,1.4027776730979624,0.15253410861956684,0.3771123077453765
16,0.23211260183480167,1.316404945656721,0.176323100730229,3.0882003759316166,0.07516112090517453,1.5762585615078033,0.14725541069402312,0.3824949238861903
17,0.08613893341164448,0.5018850935407876,0.17163078664866557,1.0636589305555375,0.08098360380113111,0.7377309104503409,0.11676199572424284,0.3931209817776013
18,0.10577061042474721,0.5586743675313913,0.18932425858754667,0.9714772005197251,0.10887606046561009,0.7339333902946124,0.14411472733552733,0.35631879886632367
19,0.11152203981386469,0.585512983514475,0.1904689442486251,0.9546376096048101,0.11682133481000323,0.7496145664427625,0.14877250897495742,0.35417121623741443
20,0.16343790570808778,0.7903690222351333,0.20678683135365256,1.1771139181323245,0.1388462944753959,0.9282104595107024,0.17607850033735084,0.3261621045581553
21,-0.009581634003741164,-0.04695154806809014,0.20407493252076955,-0.06890265406902824,0.13906044887824012,-0.06408671244091807,0.14951046229083026,0.33051762803448265
22,0.013951200600152782,0.07285425169322095,0.19149466607521184,0.12192916094446515,0.1144205413379914,0.10554366781380568,0.13218415551717153,0.35226949911893046
23,0.02139098890496448,0.11120481698079335,0.19235667559849506,0.18619813641729568,0.1148829376950601,0.15873453993774508,0.1347595105221203,0.35069007541687613
24,0.03569551822294107,0.19442089838083618,0.1835991836279856,0.346837685907357,0.10291706949191104,0.2857519484756447,0.12491784715156012,0.36744436403952835
25,0.09159946302646925,0.5122457605803641,0.1788193677243691,0.8404827813845606,0.10898434216055423,0.6690326223407008,0.13691329834709132,0.3772374426860649
26,0.09336030497846072,0.5084065141433514,0.18363318010543164,0.7756568092947587,0.12036290258748017,0.6413240641005067,0.14557430510486744,0.3673544389367284
27,0.08923291441365491,0.5353350036740269,0.16668611953495593,0.8946508445402047,0.09974049089454011,0.7555939490814818,0.11809638566074886,0.40477575604526017
28,0.08857995237359677,0.5335288419130427,0.16602654892279278,0.9148470943294207,0.09682487152514326,0.7370082293723771,0.12018855264211888,0.4064140335053422
29,0.07969930749794021,0.477874352854575,0.16677879242076424,0.8248074804121946,0.09662776998350059,0.6702480411509613,0.11891016848192383,0.40458331662143776
30,0.07289652324738358,0.43604056019600096,0.16717830840006367,0.759102937530962,0.09602982631642142,0.610908885894117,0.11932470607411994,0.4036180727037031
31,0.07174145289292472,0.42521749337311665,0.16871707775666125,0.7158409050922256,0.10021982871135575,0.5786700807153273,0.12397643369472462,0.39992350491480994
32,0.06628644778938418,0.3737179407805118,0.17737025857239982,0.6226862512455831,0.10645240304694198,0.4783489552589819,0.13857341394943817,0.38037902617762975
33,0.04952795881679074,0.2824127111458461,0.17537439662626614,0.47914394420207757,0.10336759843489218,0.36342552138980416,0.13628090461943063,0.3847099046722494
34,0.046314094320133406,0.26578915657678404,0.1742512558323789,0.44698366921543914,0.10361473474282734,0.35217884395024046,0.1315073154328292,0.3872103746122477
35,0.053330535354614995,0.2984648643039839,0.1786827922910829,0.5010185660119145,0.10644422976003401,0.3808793520336757,0.14001949717111403,0.3775887903537008
36,0.14104620251606262,1.010782103114418,0.13954165005639851,1.7677222851575078,0.07978979713065908,1.144589424555725,0.12322864381768163,0.48365549749289405
37,0.13489365805612163,0.9404188211749958,0.14343998122834278,1.431212332359204,0.09425132456325577,0.993074635480043,0.13583436051703737,0.47049287160458075
38,0.10569304374292131,0.7619148057208701,0.13872029123114624,1.5901129779621561,0.06646888944858152,0.7557957833004469,0.1398433890188903,0.48657217638547207
39,0.12679930981761417,0.916921339915236,0.1382880998596194,2.118625652845737,0.059849794439757395,1.0598354684761628,0.11964056081263906,0.4880232882430315
40,0.11549673860243372,0.8412383254184087,0.13729371940465127,1.8720635278493416,0.06169488208293782,0.9831564244898787,0.1174754451331185,0.491565180606871
41,0.12050937161648292,0.8875127676473542,0.13578325406622918,2.10341511221929,0.057292243892521445,1.030497384610287,0.11694291845491399,0.49706670200732656
42,0.1724445010045094,1.2297257768971641,0.14023004497768618,3.321923882941893,0.05191103320880209,1.5358673659114501,0.11227825060412906,0.48120757445429174
43,0.17351469909323927,1.1990974239835324,0.14470442152798937,3.2197068813507923,0.05389145828717275,1.4821472098952042,0.11706981461410146,0.46629576926534694
44,0.1528166295725135,1.0605616532076043,0.14409028377589259,2.7327811115668847,0.05591982062730724,1.099839100295044,0.1389445324607197,0.46833448010506484
45,0.1464931029919381,0.9847935575445572,0.1487551394600893,2.581267122097639,0.05675239952418874,0.9544080616322136,0.1534910578410328,0.4536300164516939
46,0.0970217759344701,0.6408619665644719,0.15139262586385602,1.6548760280561725,0.058627821232284376,0.4257432695629539,0.22788798525004908,0.4457645509514057
47,0.07765483745507384,0.5147865847351516,0.1508486035917697,1.0492456267819938,0.07401016070301765,0.31671736208492796,0.24518655038005352,0.447383849695565
48,0.06833266034336016,0.4345469902886016,0.15725033625932483,0.691895052034742,0.0987615970693905,0.2449927625360324,0.2789170571245349,0.42912573744588484
49,0.05120582792050656,0.33217163814882067,0.15415472617070683,0.5368981095397871,0.09537345542974375,0.19065412696582223,0.26857969840687484,0.43778768993733874
50,0.03821970836838556,0.24755546590903219,0.15438846493670208,0.39127877722515814,0.09767897108917908,0.14235535102247926,0.268481009627452,0.4371413814749987
51,0.058412220592179535,0.3888610306925979,0.15021361355788698,0.6652441256519523,0.08780569168488998,0.2403220648825228,0.24305808382902053,0.4493012973284128
52,0.053892575189948014,0.35669233402027334,0.15108980499391647,0.6322341023558113,0.08524148727367782,0.2300771461270442,0.23423697701895854,0.44670023285520705
53,0.05633282667526853,0.37224964246431447,0.15133077442960566,0.6780335677310333,0.08308265159169081,0.24908251773823809,0.2261613026349322,0.44598419879050755
54,0.059748359557587435,0.3943689123709451,0.1515037257840138,0.6997528761971418,0.08538494315635295,0.26826305380379145,0.22272302767897212,0.44547088804132645
55,0.055868222582880614,0.36902596759409,0.15139374322929178,0.6201922618059826,0.09008210199236266,0.24959457404963736,0.2238358858384878,0.4457853484137158
56,0.055639106497336555,0.36714491517656295,0.15154535497401417,0.6186101757880486,0.0899421132645576,0.24879097393498814,0.22363796249246434,0.44534044922168103
57,-0.1372763478418823,-0.6301165663117976,0.21785865533640725,-1.5292527787982004,0.08976694353288289,-0.860810988081136,0.15947327548395943,0.3095850595846088
58,-0.13022951491890006,-0.5978422195453574,0.21783258301485636,-1.3494718503805814,0.09650406185365958,-0.8031219964786459,0.16215408803382553,0.30960338992730835
59,-0.007872312580986604,-0.0330854608897956,0.2379387310700763,-0.05887354977184805,0.13371560932700816,-0.042941780286362606,0.18332524940719988,0.283444538275674
60,-0.05666931320108768,-0.23344087680377107,0.2427565984886338,-0.44400353407883525,0.1276325723817904,-0.31806900742047634,0.1781667244497443,0.27781514297296944
61,0.0025859403560428832,0.010476519406943512,0.24683201124306628,0.016724817776349953,0.15461695252067748,0.014498396704689468,0.1783604358960924,0.2732389888113592
62,-0.01688437377253443,-0.0670216642001527,0.25192411996979275,-0.11155581501528646,0.15135359613679278,-0.09158172521638078,0.1843640063849158,0.2677089955604742
63,-0.03707811864756661,-0.14617704573441687,0.25365212753671557,-0.2412316810030312,0.15370335477246336,-0.19830364164576658,0.18697648888263954,0.26588265273548245
64,-0.15760446377673012,-0.7494286312617774,0.21029949644621793,-1.3933217650160243,0.1131141906585501,-0.8766055978086907,0.17978947906641765,0.32071230601643996
65,-0.17649387559141647,-0.8430097969349767,0.20936159488669603,-1.209409422532306,0.1459339346156797,-0.8705815827062714,0.2027310008589561,0.3221206002940296
66,-0.06779531682982377,-0.3648018920406741,0.18584146165082072,-0.7530298310506712,0.0900300546330705,-0.3493495283512062,0.19406156679183534,0.3630211249556755
67,-0.042952291237119265,-0.2841308392030298,0.1511708174923845,-0.7361577419187383,0.058346586324240016,-0.3472820454952452,0.12368128958658572,0.4464631926443342
68,-0.008973583033023579,-0.07949117501040077,0.1128877895168798,-0.24464270820185702,0.03668036173642825,-0.12164339606464482,0.07376958654010907,0.5984212783530202
69,0.004184430610720579,0.03666612876439405,0.11412250902211471,0.10693784735182259,0.03912955716187102,0.05957770147798454,0.07023484469716966,0.5919117361710359
70,-0.014750906386952858,-0.12658402328160903,0.11653055420854179,-0.4066745969470476,0.03627201329438718,-0.1842706230392397,0.08005023342115532,0.579583462662121
71,0.028528058452261053,0.28602240199976375,0.09974064357478062,0.7048913279354575,0.040471569618846535,0.44702585475808776,0.0638174686063724,0.6776829385691929
72,0.02982961425421083,0.35580299564732054,0.08383744549407497,0.8630355558007592,0.034563598282499164,0.5871334338658087,0.050805511206892855,0.8070719997416439
73,0.02081942162401659,0.26558017157622016,0.07839222898476636,0.7048076709923247,0.029539152992906787,0.4540706186252757,0.0458506249249259,0.8636290404778304
74,0.02495573297224903,0.3264844222971316,0.07643774485980516,0.8977788293918317,0.027797194760266736,0.5949974373475374,0.04194258900256811,0.8859492610020615
75,0.02024041149970121,0.2680829425578082,0.07550055705366879,0.707376516389576,0.02861334951152681,0.4761790010352524,0.04250588844887508,0.896972888260481
76,0.027096310420209872,0.35844314421881146,0.07559444463434609,0.9958734431687188,0.027208588205739785,0.6399264127140336,0.04234285361857459,0.8957894344000484
77,0.02576177618094287,0.34074331355361426,0.07560464184101849,0.9574191360141439,0.026907521702764767,0.6100328135892071,0.042230148292138774,0.8957082026918912
78,0.026601334123604024,0.3576489169381131,0.07437834385559475,0.9962135913659748,0.026702440474767226,0.6588638700482187,0.04037455282174938,0.9106273065634721
79,0.029572258376837537,0.39765222479203444,0.07436713925667923,1.1616636388658566,0.025456816747496048,0.7554037840797336,0.03914761747303632,0.9108519986396258
80,0.018568849162020624,0.2558849543660687,0.07256717851201229,0.695126635960036,0.026712901220329845,0.4638841189676096,0.04002906847370902,0.9337486277423696
81,0.02243507369555952,0.3122255558438422,0.07185534071650525,0.9028141921974944,0.024850156199861504,0.5743382503402186,0.03906247526134598,0.9431240357816884
82,0.018050808385476333,0.25053201909663,0.07204990583863914,0.6650806538919821,0.02714078101632471,0.4562380247916488,0.039564454088892816,0.9405429966438893
83,0.022530047590617053,0.31705929715367837,0.07105941315354887,0.892110774659987,0.025254764576970838,0.5968931979400699,0.03774552577977132,0.9537726342139482
84,0.022179135734134815,0.3121204460628789,0.0710595413210023,0.8410545534786451,0.026370626783245824,0.5844480457750316,0.03794885772048951,0.9537083011124271
85,0.042184748116264895,0.5873217460215587,0.0718256192657924,2.53073218620479,0.016668989451439038,1.311654286169323,0.0321614838308234,0.9433084658549213
86,0.05446993728337871,0.7646241030350798,0.07123753628373354,2.9224498622169115,0.018638450564232748,1.7806666093242685,0.03058963255566919,0.9511868193710435
87,0.045059307131825495,0.6192364577068907,0.07276591449199502,2.2633458395729535,0.01990827311672672,1.4892428213758506,0.030256521290595875,0.9310501168330036
88,0.06519792514515947,0.8873347102444737,0.0734761352085466,2.283687233267766,0.028549410880520043,1.974151284084951,0.03302579983143475,0.9219077620888947
