start,beta,t_cl,se_cl,t_hac5,se_hac5,t_hc3,se_hc3,shock_sd
0,-0.10599770386575373,-1.0735201750030128,0.09873843671867298,-2.1905705467233987,0.04838817175931744,-0.997004125809081,0.10631621386695396,0.6545943823525467
1,-0.06361202948034007,-0.5349861244976627,0.11890407352166381,-0.774871299177996,0.08209367097196837,-0.4986082099396799,0.12757918584620911,0.5433977781764059
2,-0.1501462256935168,-1.053282222495005,0.14255080213720103,-2.1236630607687172,0.07070152910187519,-1.250176621146736,0.12010001079350995,0.4529533075296379
3,-0.2202360145618643,-1.43040360147183,0.15396774332450644,-2.5672572506881,0.08578650016582273,-2.2621672493591536,0.097356203271113,0.4192068535080845
4,-0.18507838861930473,-1.1006877860052557,0.1681479443784988,-1.9616056133240443,0.09435045829914793,-1.704227422988676,0.10859958367219309,0.38387317933840204
5,-0.10042720312667738,-0.6446105904081332,0.15579514922814441,-1.2452668615416467,0.08064713374155641,-1.073090583562663,0.09358688321843145,0.4144390980741678
6,-0.07989090611971579,-0.4842456820474805,0.16498011047186262,-0.9747692848082397,0.08195878487844663,-0.8152952146066175,0.09799015704791474,0.3913287213109913
7,-0.0431499155959776,-0.24831246879192476,0.17377264946020646,-0.4150870029721649,0.10395390674005557,-0.3652852399699821,0.11812663331133641,0.3714759248550682
8,-0.0339816641070824,-0.19141097456351794,0.17753247526466098,-0.3055092396086604,0.11122957901571469,-0.27726276264561306,0.12256122597507439,0.3636221959604867
9,-0.039260650338262676,-0.22585451858690772,0.17383159116719363,-0.4151198893612466,0.09457665446643339,-0.33028100342023237,0.11887044647345178,0.37137997780632237
10,-0.041625968329286875,-0.2579028864783575,0.16140171557474992,-0.49276216338258244,0.08447476576436798,-0.40220126998248173,0.10349536770756575,0.4000071346490417
11,-0.017977576235747795,-0.10977059939019783,0.16377405549042795,-0.2277947434904895,0.07892006619765729,-0.1673689354441664,0.10741286122205779,0.3942427526351107
12,0.014543848490422007,0.08395162267902474,0.17324082639865135,0.18132629282038817,0.0802081610129665,0.12147838973264713,0.11972375105095232,0.3726759912568804
13,0.030908041543242483,0.17729466262973712,0.17433148344567462,0.37438655567565676,0.08255649428292805,0.2526915445314436,0.12231529788839629,0.3703483922417462
14,0.06134590297808522,0.3458522156989642,0.17737605888719177,0.6591195702106224,0.09307249511417491,0.4919606236150847,0.12469677456560611,0.36397369721054074
15,0.048202499902492146,0.25271247274859415,0.19074048612727326,0.4766434014674419,0.1011290615879526,0.3212229583792291,0.15005932373484115,0.3384417924305888
16,0.06348203517151728,0.3925053626952199,0.16173545944851467,0.8288650470716886,0.07658910868035036,0.6230377871351162,0.10189114766766166,0.39922813171639837
