start,start_date,end_date,beta,se_cl,t_cl,se_hac5,t_hac5,se_hc3,t_hc3,quiet,covid,shock_sd,usd_sd
0,2019-01-03,2019-01-31,-0.10843696315572941,0.09893220620624713,-1.0960734356784425,0.04849486990821205,-2.23605019172073,0.10631570458687194,-1.0199524480141517,True,False,0.6545943823525467,0.245587993804021
1,2019-01-04,2019-02-01,-0.06605254731686687,0.11913977252375058,-0.5544122329400895,0.08215489425004198,-0.804000150202045,0.12757868028441618,-0.5177396973351137,True,False,0.5433977781764059,0.24908170150025682
2,2019-01-07,2019-02-04,-0.1525814263291637,0.14283401537637777,-1.0682429246779963,0.0707752064053522,-2.1558598565616487,0.1200995443728588,-1.2704579948735046,True,False,0.4529533075296379,0.23873763186783412
3,2019-01-08,2019-02-05,-0.2226690882402138,0.15427400573282707,-1.4433351048512597,0.08584428488764786,-2.5938720152615966,0.09735568516261484,-2.287170881374682,True,False,0.4192068535080845,0.23047709230115543
4,2019-01-09,2019-02-06,-0.18751260957377308,0.16848311158281526,-1.112946026531592,0.09440397515269543,-1.9862787480132844,0.10859906870284654,-1.726650254127438,True,False,0.38387317933840204,0.23123690196794283
5,2019-01-10,2019-02-07,-0.10286430033651953,0.1561062461050496,-0.6589377613199306,0.08071112238882679,-1.2744749086869285,0.09358624810404388,-1.0991390553680582,True,False,0.4144390980741678,0.2053466166301145
6,2019-01-11,2019-02-08,-0.08232813134323126,0.16531016366986795,-0.49802219969755973,0.08202200815654447,-1.003732207898428,0.0979895376545042,-0.8401726685710814,True,False,0.3913287213109913,0.2044599308028054
7,2019-01-14,2019-02-11,-0.0455885594049172,0.17412132012260653,-0.26182066258638675,0.10400336218422736,-0.4383373618649315,0.1181260946920094,-0.3859313179173528,True,False,0.3714759248550682,0.22601243198270377
8,2019-01-15,2019-02-12,-0.03641994404440448,0.17788852557984836,-0.2047346444954189,0.1112758222030778,-0.32729431536293907,0.12256070153741551,-0.2971584169113633,True,False,0.3636221959604867,0.2354514249055653
9,2019-01-16,2019-02-13,-0.041698793600733745,0.17418000920486562,-0.23940057065727216,0.09463094945634618,-0.4406464675699957,0.11886990945701496,-0.3507935169733819,True,False,0.37137997780632237,0.23214282845286385
