date,usd,shock,dfbetas,cooks,leverage,day,spec,term
2025-04-04,0.86316539660904,7.427679591948865,2.456188956658423,0.9831999946443916,0.31815043792600084,2,A: VIX,vix_tariff
2025-04-03,-1.3137716453083899,4.134045345159242,-1.208442615080089,0.31904227438422605,0.13019725078591043,1,A: VIX,vix_tariff
2025-04-10,-1.22281703415936,3.449086010649898,-0.8999798388105594,0.20614647849024118,0.10471995405404827,6,A: VIX,vix_tariff
2025-04-11,-0.8612475371617001,-1.5350861681202344,0.2716212308372763,0.048438831941212,0.06045025815974815,7,A: VIX,vix_tariff
2025-04-09,-0.18840628733913,-9.089070318205575,0.21232955653344388,0.007018790464115874,0.46637969678509417,5,A: VIX,vix_tariff
2025-04-21,-0.54789966700976,2.0257307978042363,-0.18522508011765312,0.01670842926522472,0.06676503718348067,13,A: VIX,vix_tariff
2025-04-07,0.8037532023529901,0.8112638926458183,0.1657181605277567,0.06968006101578376,0.05037974150440801,3,A: VIX,vix_tariff
2025-04-23,0.49518787219095994,-1.029867935574336,-0.16492870284944533,0.033811773138049346,0.053636309900532794,15,A: VIX,vix_tariff
2025-04-14,-0.28787617876817,-3.240197702962651,0.1194113890897727,0.003729624513230296,0.10227010680911715,8,A: VIX,vix_tariff
2025-04-08,0.03043024127231,2.598959177039008,0.11060037172135762,0.0042539489785432365,0.07961683360679767,4,A: VIX,vix_tariff
2025-04-22,0.08417371335295999,-1.578806976705939,-0.08890232929782821,0.004988787215303172,0.061159790009597606,14,A: VIX,vix_tariff
2025-04-16,-0.40769395595843,1.2241826403996818,-0.07023645243084613,0.005604306831310696,0.054297760630984154,10,A: VIX,vix_tariff
2025-04-15,0.09392335995217001,-0.37405580678879147,-0.024739155565475804,0.004262773458622103,0.04859402208738983,9,A: VIX,vix_tariff
2025-04-25,-0.031975799555529996,-0.7918324221632859,-0.0228312958998346,0.0010130464600144988,0.05130948566683145,17,A: VIX,vix_tariff
2025-04-24,-0.08139856347150999,-0.9618577888854646,-0.015412669350614822,0.0003318592408026019,0.0529137517546494,16,A: VIX,vix_tariff
2025-04-17,-0.11574573272498999,-1.4525024185694648,-0.010324572445373388,7.637409395231893e-05,0.059162125291663356,11,A: VIX,vix_tariff
2025-04-30,-0.001876122869770569,0.25746698389358275,0.006422033735763311,0.001533327387248324,0.04779875015804418,20,A: VIX,vix_tariff
2025-04-29,-0.10044352527226999,-0.47607102682209695,-0.005788930879147102,0.00015570035045590753,0.0490962219992443,19,A: VIX,vix_tariff
2025-04-02,-0.04169058134095,-0.12630455813647415,-0.004743773536255083,0.0007993630204477903,0.04780717431588434,0,A: VIX,vix_tariff
2025-04-18,-0.11644902527248001,0.0,-0.00047949034226812964,6.673711691606463e-05,0.04764199122890831,12,A: VIX,vix_tariff
2025-04-28,-0.13696880930469,0.15059389623964278,0.00019468751393691083,7.371541165829498e-06,0.04765330014166507,18,A: VIX,vix_tariff
