event,date,description,win_start,win_end
ukraine,2022-02-24,Russia invades Ukraine (non-US control),2022-01-27,2022-03-24
liberation_day,2025-04-02,Liberation Day tariff announcement,2025-03-05,2025-04-30
tariff_pause,2025-04-09,90-day tariff pause,2025-03-12,2025-05-07
iran_12day,2025-06-13,Israel/US strikes on Iran (12-day war),2025-05-16,2025-07-11
hormuz,2026-02-28,US & Israel launch airstrikes on Iran; 2026 war begins,2026-02-02,2026-03-30
hormuz_closure,2026-03-02,Iran declares Strait of Hormuz closed (IRGC complete control 4 Mar),2026-02-02,2026-03-30
hormuz_ceasefire,2026-04-07,"Two-week ceasefire, Strait to reopen (collapses 13 Apr, US naval blockade)",2026-03-10,2026-05-05
us_strikes,2026-05-25,"US self-defense strikes, southern Iran / Hormuz",2026-04-27,2026-06-16
ceasefire,2026-06-11,60-day ceasefire announced (MoU signed 17 Jun),2026-05-14,2026-06-16
