date,EUR,GBP,AUD,NZD,JPY,CHF,CAD,SEK,NOK,DKK,MXN,ZAR,TRY,INR,KRW,TWD,THB,SGD,MYR,IDR,PLN,HUF,CZK,ILS,CNY,HKD,SAR,KWD
2020-08-31,0.012882,0.021124,0.031974,0.014927,-0.000432,0.009246,0.027783,0.015178,0.042936,0.013257,0.02172,0.007743,-0.026736,0.025393,0.004966,-0.00109,0.006654,0.010474,0.018917,0.005591,0.016955,-0.018828,0.012807,0.014979,0.02048,-6e-06,0.00036,0.007861
2020-09-30,-0.018978,-0.03472,-0.029547,-0.018251,0.003747,-0.019762,-0.020914,-0.03553,-0.067844,-0.018976,-0.006271,0.014851,-0.039261,-0.000966,0.019786,0.015402,-0.01526,-0.003828,0.003052,-0.018723,-0.048612,-0.04058,-0.048619,-0.02135,0.011253,0.000257,9.3e-05,0.004427
2020-10-31,-0.006714,0.001776,-0.019089,0.000904,0.007372,0.003496,5.1e-05,0.006234,-0.021737,-0.006744,0.046565,0.033877,-0.070279,-0.010339,0.024452,0.011404,0.016161,-0.000538,0.001672,0.020104,-0.022817,-0.013818,-0.011974,0.004949,0.016875,-0.000129,0.000173,0.011005
2020-11-30,0.02318,0.028753,0.044244,0.059375,0.003198,0.007624,0.023992,0.03671,0.069688,0.023353,0.051537,0.052535,0.078889,0.00774,0.023945,0.00021,0.028478,0.018158,0.020565,0.03794,0.051542,0.045779,0.060804,0.029452,0.019508,5.3e-05,0.000253,0.007926
2020-12-31,0.02246,0.025502,0.04603,0.022886,0.009108,0.025174,0.020572,0.040311,0.035957,0.022801,0.018048,0.055839,0.063811,0.01502,0.022184,0.017398,0.007773,0.015301,0.013789,0.008258,0.006022,0.012154,0.024345,0.028216,0.010441,-0.000129,-0.000107,0.010791
2021-01-31,-0.007208,0.001811,-0.007112,0.000623,-0.014228,-0.006757,-0.003682,-0.016377,0.00279,-0.006443,-0.031173,-0.027158,0.026881,0.005478,-0.030114,0.002513,0.004843,-0.005913,-0.003717,0.004303,0.001708,0.008491,0.00091,-0.020843,0.017229,-0.000193,-8e-05,0.006914
2021-02-28,-0.0056,0.016546,0.008056,0.006026,-0.018234,-0.020754,0.002897,-0.00925,-0.011404,-0.005607,-0.009605,0.008326,-0.003634,-0.010578,-0.005701,0.004688,-0.019378,-0.002007,-0.001864,-0.013787,-0.005461,-0.018691,-0.010628,-0.010033,-0.004551,-0.000472,0.000207,0.002952
2021-03-31,-0.029894,-0.011158,-0.014245,-0.035223,-0.038293,-0.039011,0.014223,-0.034679,0.011964,-0.029472,0.023763,0.026111,-0.091542,0.015242,-0.00273,-0.020734,-0.023146,-0.009685,-0.021427,-0.015612,-0.053019,-0.027657,-0.026975,-0.008985,-0.00943,-0.002337,0.000137,0.007601
2021-04-30,0.023801,0.002328,0.015379,0.02508,0.012675,0.031605,0.021591,0.030074,0.02779,0.024157,0.013031,0.02291,0.018311,-0.008258,0.00927,0.021061,0.004454,0.010994,0.013497,0.007724,0.039957,0.030233,0.034088,0.027981,0.01468,0.000762,6.7e-05,0.012047
2021-05-31,0.016469,0.028193,0.002195,0.015082,-0.002693,0.014762,0.018593,0.02016,-0.001382,0.016392,0.017761,0.059241,-0.008629,0.02595,0.008689,0.011244,-0.000802,0.00682,-0.005702,0.014357,0.034807,0.052907,0.034137,-0.000832,0.018224,0.00076,0.00016,0.008779
2021-06-30,-0.031347,-0.02736,-0.031059,-0.040264,-0.014328,-0.028947,-0.027109,-0.030653,-0.032553,-0.031145,0.003881,-0.035192,-0.009113,-0.020638,-0.020232,-0.013343,-0.025214,-0.017841,-0.005253,-0.012631,-0.040428,-0.041247,-0.033093,-0.003642,-0.011628,-0.000506,0.000133,0.008584
2021-07-31,0.000588,0.005249,-0.020969,-0.00088,0.01238,0.02049,-0.006103,-0.004077,-0.024526,0.000281,0.007357,-0.016596,0.046376,0.003511,-0.018448,-0.000752,-0.024617,-0.006641,-0.015041,0.005,-0.009502,-0.017904,0.001248,0.009604,0.001431,-0.001094,0.00016,0.007956
2021-08-31,-0.00583,-0.010699,-0.004122,0.010057,-0.003139,-0.011325,-0.011449,-0.004782,0.01371,-0.005578,-0.005836,0.007421,0.032047,0.02183,-0.005555,0.009206,0.020932,0.007042,0.016379,0.015716,0.004701,0.021529,-0.001937,0.006981,0.002126,-0.000745,0.000293,0.00615
2021-09-30,-0.019956,-0.020799,-0.012434,-0.021086,-0.011572,-0.018671,-0.005016,-0.01574,-0.006166,-0.020229,-0.023715,-0.034706,-0.051541,-0.013526,-0.021689,-0.005512,-0.044782,-0.009196,-0.005629,-0.000489,-0.03821,-0.048458,-0.016182,-0.006601,0.005314,-0.001192,0.00016,0.002805
2021-10-31,-0.002308,0.016081,0.039874,0.03814,-0.024442,0.016467,0.023262,0.01936,0.035484,-0.00216,0.00886,-0.003309,-0.061407,-0.006762,0.009165,0.000198,0.012682,0.006272,0.012324,0.0132,-0.001976,-0.001736,-0.014286,0.019738,0.008611,0.000828,0.00016,0.004828
2021-11-30,-0.020276,-0.02925,-0.054269,-0.04872,0.007369,-0.004105,-0.030899,-0.049445,-0.068057,-0.019905,-0.037901,-0.039803,-0.32412,0.001231,-0.006131,0.006634,-0.012008,-0.011183,-0.013355,-0.007991,-0.028974,-0.031535,-0.013325,0.003057,0.008753,-0.002469,5.3e-05,0.00386
2021-12-31,0.001413,0.016479,0.018321,0.000805,-0.017758,0.005528,0.010696,-0.0035,0.02615,0.001398,0.052098,-0.002671,0.026275,0.011267,-0.004705,-0.002565,0.015152,0.011298,0.009805,0.007984,0.019574,-0.008459,0.027852,0.012456,0.004341,0.000174,-0.000666,0.006704
2022-01-31,-0.012559,-0.00605,-0.027247,-0.036916,-0.000417,-0.016887,-0.005573,-0.030908,-0.009764,-0.013197,-0.001528,0.043104,0.026842,0.002313,-0.012554,-0.002378,-0.000753,-0.001355,-0.003291,-0.006802,-0.00869,0.029294,0.009909,-0.020074,0.002136,-0.000262,0.0004,0.005955
2022-02-28,-0.001805,-0.00186,0.027329,0.028163,0.000744,0.010562,0.002377,-0.01768,0.009688,-0.001554,0.012573,0.005512,-0.0249,-0.009809,0.003797,-0.008029,0.01718,-0.002453,-0.001931,0.003058,-0.024649,-0.042952,-0.0344,-0.012468,0.010054,-0.002109,0.000267,0.007152
2022-03-31,-0.015209,-0.021665,0.029244,0.02599,-0.05713,-0.008045,0.013835,0.008535,0.003152,-0.015089,0.035443,0.054816,0.002359,-0.001973,-0.010922,-0.022365,-0.018341,-6e-06,-0.000274,0.001981,0.000283,0.000154,0.016784,0.004534,-0.002329,-0.002333,0.00032,0.003311
2022-04-30,-0.049393,-0.04373,-0.057911,-0.071008,-0.065574,-0.054551,-0.028005,-0.045663,-0.063166,-0.049401,-0.022447,-0.075517,0.012354,-0.004778,-0.038482,-0.02775,-0.029076,-0.02083,-0.033708,-0.007669,-0.051809,-0.073362,-0.055976,-0.046762,-0.039508,-0.002118,0.000533,-0.00605
2022-05-31,0.016741,0.002479,0.015103,0.008741,0.007911,0.013192,0.01658,0.006184,-0.001689,0.016664,0.044282,0.015154,-0.075892,-0.010402,0.01684,0.014126,-0.001764,0.010245,-0.005186,-0.003814,0.042002,-0.026424,0.013818,0.003271,-0.008603,-0.000748,0.00072,0.00924
2022-06-30,-0.025379,-0.034624,-0.039311,-0.042144,-0.054616,0.002719,-0.01752,-0.047278,-0.048467,-0.024992,-0.015984,-0.036419,0.02147,-0.014247,-0.035899,-0.024038,-0.029312,-0.014556,-0.006031,-0.021106,-0.04423,-0.017124,-0.024065,-0.051433,-0.003319,-0.00079,0.000426,0.007971
2022-07-31,-0.02749,-0.001321,0.01178,0.007825,0.017044,0.001755,0.006158,0.005879,0.016908,-0.027885,-0.007516,-0.019095,-0.051853,-0.002536,-0.012224,-0.010416,-0.028998,0.006688,-0.009595,0.004775,-0.028624,-0.039522,-0.019471,0.025828,-0.006601,-0.001485,-0.000906,0.00035
2022-08-31,-0.018016,-0.046443,-0.021679,-0.027415,-0.044563,-0.029428,-0.025929,-0.050037,-0.02611,-0.018251,0.016836,-0.024136,0.020819,0.000723,-0.029551,-0.013877,-0.009345,-0.012053,-0.00586,-1.7e-05,-0.007971,-0.000826,-0.012349,0.019477,-0.022262,-0.000994,-0.000971,-0.005905
2022-09-30,-0.028016,-0.041094,-0.066371,-0.089417,-0.043339,-0.012091,-0.051507,-0.040063,-0.093626,-0.02699,0.005467,-0.056098,0.00731,-0.020091,-0.071309,-0.046873,-0.035483,-0.026964,-0.035673,-0.024565,-0.048247,-0.071965,-0.028126,-0.06969,-0.033233,-0.000777,0.000479,-0.010482
2022-10-31,0.006402,0.026591,-0.001232,0.038299,-0.029857,-0.017109,0.014962,0.00249,0.045768,0.004486,0.022589,-0.005107,0.039639,-0.012166,0.008652,-0.015151,-0.007649,0.01322,-0.020157,-0.023056,0.042522,0.050215,0.013048,0.008558,-0.027191,-0.000664,0.000346,-0.011722
2022-11-30,0.049334,0.049088,0.058078,0.078984,0.071202,0.053685,0.015669,0.047931,0.05425,0.050496,0.033567,0.065479,0.021676,0.019755,0.091784,0.0434,0.078321,0.039065,0.060218,-0.007994,0.06573,0.062415,0.057199,0.031497,0.027528,0.004433,0.000412,-0.01
2022-12-31,0.025308,0.002176,0.002539,0.00805,0.047006,0.018322,-0.011064,0.004342,0.003656,0.025364,-0.006021,0.012768,0.01103,-0.015075,0.030556,0.002345,0.009201,0.015788,0.008241,0.010874,0.031753,0.060225,0.036259,-0.03413,0.025242,0.000431,0.000519,-0.012141
2023-01-31,0.012561,0.017264,0.033511,0.013611,0.003633,0.00555,0.018096,-0.005423,-0.020583,0.012029,0.040261,-0.019911,0.018467,0.013646,0.021946,0.016461,0.045669,0.019214,0.030748,0.038155,0.013203,0.045345,0.031886,0.018895,0.018576,-0.004634,0.002395,-0.017051
2023-02-28,-0.028398,-0.025133,-0.0485,-0.040878,-0.049701,-0.031049,-0.025473,-0.002022,-0.040373,-0.029446,0.033461,-0.051022,0.00944,-0.009196,-0.07121,-0.024709,-0.071469,-0.026552,-0.052297,-0.016646,-0.023777,0.016517,-0.014628,-0.057729,-0.027927,-0.002701,0.000892,-0.021499
2023-03-31,0.022641,0.025133,-0.007581,0.012003,0.020908,0.025932,0.009358,0.007156,-0.010122,0.021759,0.021892,0.035028,0.000508,0.007455,0.011684,0.002681,0.028122,0.012294,0.015003,0.017961,0.032519,0.031583,0.025144,0.014526,0.007141,-0.001609,0.000559,-0.011719
2023-04-30,0.014877,0.018567,-0.012808,-0.011842,-0.030841,0.019657,-0.0031,0.0095,-0.016244,0.013523,0.007307,-0.024154,0.022166,0.007343,-0.025882,-0.010588,-0.001613,-0.003945,-0.012725,0.022696,0.038133,0.044076,0.013533,-0.008336,-0.008768,-0.001571,0.001465,-0.019405
2023-05-31,-0.032471,-0.011433,-0.017327,-0.026491,-0.026776,-0.021989,-0.002215,-0.057879,-0.044018,-0.031423,0.023817,-0.073411,0.018346,-0.009936,0.010885,-0.001858,-0.020097,-0.013702,-0.036471,-0.020761,-0.015432,-0.01286,-0.037812,-0.030905,-0.031218,0.001055,0.000373,-0.018918
2023-06-30,0.018756,0.020484,0.023758,0.017127,-0.039967,0.013218,0.024235,0.003318,0.032814,0.018911,0.038932,0.049339,-0.119053,0.008267,0.001981,-0.01778,-0.019679,-0.001458,-0.013459,0.000167,0.043039,0.023323,0.018671,0.005699,-0.022965,-0.001597,0.00036,-0.015552
2023-07-31,0.005964,0.010175,0.007121,0.013711,0.009257,0.023235,0.003217,0.024323,0.055185,0.004779,0.028872,0.056546,-0.025695,-0.000687,0.027789,-0.013026,0.028009,0.015768,0.032296,-0.005559,0.01636,-0.020969,0.003526,0.011049,0.011785,0.004273,0.000173,-0.017147
2023-08-31,-0.015549,-0.013022,-0.037064,-0.039973,-0.027832,-0.016387,-0.024398,-0.041172,-0.04963,-0.016194,-0.011597,-0.05255,0.026314,-0.0046,-0.038123,-0.017031,-0.025938,-0.017789,-0.03077,-0.009669,-0.028156,0.009699,-0.02248,-0.038132,-0.019588,-0.005825,0.00056,-0.029242
2023-09-30,-0.026755,-0.038373,-0.008693,0.005033,-0.03078,-0.03862,-0.005515,0.001155,-0.005828,-0.027464,-0.016579,-0.000118,-0.004473,-0.002869,-0.021715,-0.016219,-0.044514,-0.011805,-0.013865,-0.014468,-0.056994,-0.040814,-0.039646,-0.003115,-0.009177,-7.6e-05,0.0006,-0.024521
2023-10-31,-0.000707,-0.003977,-0.016472,-0.029027,-0.020777,0.001761,-0.022061,-0.024336,-0.046089,-0.002327,-0.030298,0.017812,0.003431,-0.001454,-0.002249,-0.010308,0.007408,-0.004467,-0.016752,-0.02741,0.039127,0.024158,-0.005572,-0.059964,-0.004919,0.000161,2.7e-05,-0.022876
2023-11-30,0.027513,0.037758,0.040557,0.054846,0.018171,0.036056,0.022344,0.061074,0.032421,0.028543,0.042554,-0.008609,0.002889,-0.000474,0.037809,0.030571,0.020213,0.022458,0.020246,0.024111,0.05171,0.040834,0.040129,0.079521,0.021943,0.001017,0.000306,-0.008729
2023-12-31,0.012233,0.008177,0.029514,0.027172,0.044274,0.035602,0.022957,0.040352,0.061371,0.01195,0.028916,0.032978,0.007192,0.002616,0.002599,0.018302,0.025065,0.011959,0.011845,0.007577,0.017317,0.00882,-0.002635,0.031825,0.00208,0.000243,0.000107,-0.018345
2024-01-31,-0.021333,-0.003641,-0.037697,-0.033733,-0.045358,-0.026347,-0.014455,-0.032667,-0.034385,-0.021577,-0.009001,-0.018274,-0.000588,0.002434,-0.032161,-0.022157,-0.036951,-0.017019,-0.031168,-0.024262,-0.015912,-0.016583,-0.024759,-0.01108,-0.012756,-0.001937,-2.7e-05,-0.018876
2024-02-29,-0.002494,-0.005138,-0.0114,-0.004713,-0.025662,-0.029969,-0.011028,0.000303,-0.011606,-0.002739,0.014075,-0.025234,-0.000463,0.003402,-0.002331,-0.015895,-0.010785,-0.005646,-0.005187,0.004698,0.002246,-0.020578,-0.021671,0.018843,-0.00582,-0.002311,0.000267,-0.017369
2024-03-31,-0.002188,-0.000186,0.002715,-0.018006,-0.013764,-0.022646,0.002383,-0.027817,-0.019159,-0.003361,0.035255,0.017468,-0.002296,-0.004478,-0.009474,-0.013928,-0.014815,-0.004041,0.002378,-0.008074,0.004482,-0.001742,0.002749,-0.0331,-0.007918,-0.000515,0.000293,-0.017575
2024-04-30,-0.013277,-0.010835,-0.008404,-0.015555,-0.046538,-0.022657,-0.017897,-0.035611,-0.027889,-0.013411,-0.030058,0.011172,0.037071,-0.000156,-0.030671,-0.02389,-0.023396,-0.013188,-0.012026,-0.024325,-0.020747,-0.003099,-0.008324,-0.013345,-0.006019,-0.000743,0.000213,-0.016503
2024-05-31,0.015273,0.019773,0.026458,0.042648,-0.00168,0.015518,0.010478,0.044804,0.056533,0.015451,0.011441,-0.000271,0.037193,0.001126,0.000513,0.000677,0.010211,0.008998,0.011879,0.001338,0.031233,0.023467,0.035691,0.00496,-0.003223,-0.000407,0.000213,-0.015514
2024-06-30,-0.01324,-0.007915,0.001351,-0.009402,-0.02697,2.7e-05,-0.004366,-0.008277,-0.018197,-0.014061,-0.069193,0.036209,0.012047,0.002049,-0.000369,-0.004592,-0.000852,-0.004953,-0.004153,-0.007263,-0.021151,-0.02574,-0.026399,-0.016524,-0.006671,0.000495,1.3e-05,-0.02539
2024-07-31,0.008804,0.016486,-0.020072,-0.022691,0.065255,0.019802,-0.0101,-0.010863,-0.022057,0.007987,-0.010517,0.00167,0.02099,-0.003269,0.006964,-0.008617,0.032449,0.013345,0.02435,0.00749,0.015584,0.014218,-0.005161,-0.002802,0.003358,-0.00151,9.3e-05,-0.017469
2024-08-31,0.018814,0.020748,0.032758,0.049128,0.020944,0.02859,0.022117,0.039094,0.026923,0.018889,-0.0527,0.023238,0.007193,-0.001,0.021585,0.017573,0.041692,0.020554,0.059266,0.051728,0.022618,0.024349,0.035535,0.037107,0.014318,0.000964,-6.7e-05,-0.023297
2024-09-30,0.006473,0.018173,0.02104,0.015721,0.013241,0.001777,-0.003241,0.009353,0.005366,0.006749,0.00582,0.033848,0.033815,0.001991,0.011952,0.004398,0.045449,0.014846,0.044642,0.021789,0.007727,-0.002119,0.000547,-0.026598,0.006743,0.001851,0.000533,-0.032209
2024-10-31,-0.024179,-0.036184,-0.049731,-0.060484,-0.061502,-0.025011,-0.030498,-0.048368,-0.042415,-0.025149,-0.011694,-0.014243,0.031522,-0.002185,-0.042585,-0.008082,-0.044452,-0.028357,-0.061926,-0.034682,-0.038296,-0.048969,-0.027003,-0.006206,-0.017106,-0.000471,-0.000693,-0.035392
2024-11-30,-0.029833,-0.012477,-0.010929,-0.0102,0.011184,-0.022961,-0.005884,-0.025448,-0.00363,-0.030067,-0.011735,-0.0248,0.018617,-0.00445,-0.017045,-0.019225,-0.015124,-0.015949,-0.016525,-0.008652,-0.015191,-0.037987,-0.026005,0.028075,-0.019655,-0.001794,-6.7e-05,-0.035412
