date,USD_EW,SAFE,RISKY,CARRY_HML,HAVEN_SAFE,HAVEN_RISKY,OIL_EXP,OIL_IMP
2019-01-01,,,,,,,,
2019-01-02,0.0015500981231036937,-0.00550185672886272,,,,,,
2019-01-03,-0.002335451766130906,0.0036312053804115627,0.0013459406537676014,-0.0022852647266439615,0.00641846283331732,0.0010146242445362441,0.0020701563409411144,-0.0017464359374043115
2019-01-04,-0.006481790398089035,0.0018295933719528026,0.011333572049428435,0.009503978677475633,-0.0025874250357145047,0.016094369809596554,0.007897811225532347,0.007336154215321041
2019-01-07,-0.002706838091100885,0.0028554964094955567,0.002833109549339558,-2.2386860155998618e-05,0.004084480589136971,0.0016903610112829852,0.002412018259677557,-0.0026039568298738733
2019-01-08,0.0017586615292906945,-0.0013584569284843331,-0.005827750708678391,-0.004469293780194058,-0.0016104219369666162,-0.0021519700046864023,0.0021499050884576376,-0.005219684021908311
2019-01-09,-0.004855078955132136,0.0058284966256502025,0.004121823309949558,-0.0017066733157006441,0.00699916894688225,0.005183750948794715,0.005074364968668722,0.0015317717972899898
2019-01-10,0.0003758494700845939,-0.002912086144379315,0.0025094670613017606,0.005421553205681075,-0.005382786814446133,0.002109372108021016,-0.0007800285198183432,0.0018975668892753002
2019-01-11,0.00024378137481700772,-0.0009119156123303236,-0.0012741271318634467,-0.0003622115195331231,-0.0012161028348886573,-0.0010399859531992073,-0.001535666925119932,-0.0012309550635937934
2019-01-14,-7.604698547521659e-05,0.0007557233746002247,0.00029890904444734065,-0.00045681433015288403,0.002521797041523312,0.002046295856266034,0.001163237467784858,-0.0009194394037721118
2019-01-15,0.0016877373504288016,-0.003232663342251423,-0.0021860238383246055,0.0010466395039268176,-0.005670225827515671,-0.00030025498320277827,-0.0005064881427769603,-0.0016116654936763064
2019-01-16,-0.000935570362241379,-0.0009052054512605509,0.004712755588870917,0.005617961040131468,-0.0025898120851351133,0.0049546702206330435,0.0012029684503958502,0.004474373411249677
2019-01-17,0.0010035200601030546,-0.0016146593441686533,-0.0017158132978449814,-0.0001011539536763281,-0.001861743832965901,-0.00396740683741074,-0.0026085967615921413,-0.0013919728068033654
2019-01-18,0.0013835305712399694,-0.001452996683842855,-0.0015406850925743232,-8.76884087314682e-05,-0.0031080418066248457,-0.0009345888288447105,-0.00010042691083510842,-0.0011657666977642478
2019-01-21,0.0008500486727995697,-0.0005176073238180641,-0.00034176573577398325,0.0001758415880440808,-0.00011151459225196092,-0.0012654022138182859,-0.0013591020353486932,-0.0014056636787660077
2019-01-22,0.001622820527299531,0.000877807368043818,-0.0025691739202846303,-0.0034469812883284484,0.0006924834895643365,-0.005927394894318853,-0.00447227207604716,0.0002721955795201847
